,state_name,state,population
0,Alabama,AL,5024279
1,Alaska,AK,733391
2,Arizona,AZ,7151502
3,Arkansas,AR,3011524
4,California,CA,39538223
5,Colorado,CO,5773714
6,Connecticut,CT,3605944
7,Delaware,DE,989948
8,Florida,FL,21538187
9,Georgia,GA,10711908
10,Hawaii,HI,1455271
11,Idaho,ID,1839106
12,Illinois,IL,12812508
13,Indiana,IN,6785528
14,Iowa,IA,3190369
15,Kansas,KS,2937880
16,Kentucky[B],KY,4505836
17,Louisiana,LA,4657757
18,Maine,ME,1362359
19,Maryland,MD,6177224
20,Massachusetts[B],MA,7029917
21,Michigan,MI,10077331
22,Minnesota,MN,5706494
23,Mississippi,MS,2961279
24,Missouri,MO,6154913
25,Montana,MT,1084225
26,Nebraska,NE,1961504
27,Nevada,NV,3104614
28,New Hampshire,NH,1377529
29,New Jersey,NJ,9288994
30,New Mexico,NM,2117522
31,New York,NY,20201249
32,North Carolina,NC,10439388
33,North Dakota,ND,779094
34,Ohio,OH,11799448
35,Oklahoma,OK,3959353
36,Oregon,OR,4237256
37,Pennsylvania[B],PA,13002700
38,Rhode Island,RI,1097379
39,South Carolina,SC,5118425
40,South Dakota,SD,886667
41,Tennessee,TN,6910840
42,Texas,TX,29145505
43,Utah,UT,3271616
44,Vermont,VT,643077
45,Virginia[B],VA,8631393
46,Washington,WA,7705281
47,West Virginia,WV,1793716
48,Wisconsin,WI,5893718
49,Wyoming,WY,576851
